query_text,persona,intent_label,complexity,notes,route,tier,entity_types,normalization_flags
Caltech vs Stanford,college_student,comparison,llm_needed,compare entities,compare_pipeline,complex,"school,comparison_target",
Virginia Tech scholarships,counselor_teacher,cost_financial_aid,medium,cost / aid,finance_guidance,medium,"school,cost_constraint",
affordable pre-law schools on the East Coast with good job placement,advisor,career_outcomes,complex,multi-constraint,outcomes_pipeline,medium,"major_or_program,location,career_outcome_cue",intent:career_pattern
schools with strong first gen support,counselor_teacher,filtered_search,medium,subjective fit; counselor framing,semantic_or_faceted_search,medium,,intent:first_gen_support_pattern
university of maryland,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
Boston University but cheaper,college_student,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
universities with strong pre-med,parent,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,major_or_program,
schools like Carnegie Mellon but cheaper,parent,rewrite_needed,llm_needed,needs recommendations,rewrite_then_route,complex,"school,rewrite_cue",intent:rewrite_pattern
MIT vs Northwestern for computer science,high_school_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,major_or_program",
Boston University financial aid for out of state,college_student,cost_financial_aid,medium,cost / aid,finance_guidance,medium,"school,cost_constraint",
does University of Florida have chemistry,counselor_teacher,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,"school,location",
best philosophy schools in Texas,high_school_student,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
colleges in warm states,counselor_teacher,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
Purdue scholarships,counselor_teacher,cost_financial_aid,complex,cost / aid,finance_guidance,medium,"school,cost_constraint",
create reach target safety list for economics on the East Coast under 20k,advisor,multi_constraint,short_circuit,simple entity; advisor framing,foundry_multi_agent,complex,"major_or_program,location",intent:advisor_list_pattern
colleges on the East Coast under 30k with strong research and internships,college_student,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,location,
what schools should i apply to for aerospace engineering not Florida under 20k,parent,filtered_search,complex,needs recommendations; parent framing,semantic_or_faceted_search,medium,"major_or_program,location",intent:filtered_search_pattern
Northeastern vs University of Michigan for pre-med,advisor,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,major_or_program",
Harvard vs Caltech,college_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
schools with normal people,parent,campus_life_fit,llm_needed,subjective fit; parent framing,llm_advisory,complex,fit_or_culture_cue,
Caltech,parent,direct_lookup,short_circuit,simple entity,typesense_only,easy,,
colleges near the beach low tuition with strong research and internships,counselor_teacher,multi_constraint,complex,multi-constraint; counselor framing,foundry_multi_agent,complex,"location,cost_constraint",
medium-sized public health colleges near Chicago good financial aid target schools,college_student,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,"location,cost_constraint",
affordable economics schools not Florida with good job placement,college_student,career_outcomes,complex,multi-constraint,outcomes_pipeline,medium,"major_or_program,location,career_outcome_cue",intent:career_pattern
University of Wisconsin chill campus,parent,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,"school,fit_or_culture_cue",
request demo for our admissions team,college_b2b,b2b_partnership,complex,B2B,b2b_workflow,medium,"admissions_or_attribute_signal,b2b_request_type",persona:b2b_pattern
Northeastern,college_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,,
do i need sat for Harvard,advisor,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
how do i apply to Northwestern,parent,admissions_process,medium,how-to / admissions; parent framing,faq_or_guidance,medium,school,
does Purdue have neuroscience,counselor_teacher,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,"school,major_or_program",
Duke application deadlines,college_student,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
USC vs Boston University for pre-law,parent,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,major_or_program",
best pre-med schools in warm states,counselor_teacher,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,"major_or_program,location",
mit,high_school_student,direct_lookup,medium,simple entity,typesense_only,easy,school,persona:school_only_pattern
schools near Chicago with low student-to-faculty ratio,college_student,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
nyu,high_school_student,direct_lookup,short_circuit,simple entity; counselor framing,typesense_only,easy,school,persona:school_only_pattern
Vanderbilt scholarships,advisor,cost_financial_aid,medium,cost / aid,finance_guidance,medium,"school,cost_constraint",
affordable pre-med schools near a major tech hub with good job placement,high_school_student,career_outcomes,complex,multi-constraint,outcomes_pipeline,medium,"major_or_program,career_outcome_cue",intent:career_pattern
purdue,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,
University of Michigan vs UC Irvine,high_school_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
University of Wisconsin housing guarantee,parent,attribute_lookup,complex,multi-constraint; parent framing,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
Princeton vs Harvard for mechanical engineering,advisor,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,major_or_program",
clubs for Columbia,advisor,attribute_lookup,llm_needed,single attribute; advisor framing,typesense_plus_metadata,easy,school,
cheapest architecture schools near a major tech hub,high_school_student,filtered_search,medium,cost / aid,semantic_or_faceted_search,medium,major_or_program,intent:filtered_search_pattern
what essays does Georgia Tech require,counselor_teacher,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,school,
Vanderbilt mental health counseling,high_school_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,school,
large pre-med colleges near the beach low tuition not too competitive,college_student,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,"major_or_program,location,cost_constraint",
what schools should i apply to for economics in Texas under 20k,advisor,filtered_search,complex,needs recommendations; advisor framing,semantic_or_faceted_search,medium,"major_or_program,location",intent:filtered_search_pattern
create reach target safety list for business near the beach low tuition,advisor,multi_constraint,medium,cost / aid; advisor framing,foundry_multi_agent,complex,"major_or_program,location,cost_constraint",intent:advisor_list_pattern
create reach target safety list for nursing near the beach full ride options,advisor,multi_constraint,llm_needed,subjective fit; advisor framing,foundry_multi_agent,complex,"major_or_program,location,cost_constraint",intent:advisor_list_pattern
Columbia,high_school_student,direct_lookup,short_circuit,simple entity; advisor framing,typesense_only,easy,school,persona:school_only_pattern
University of Maryland tuition vs USC tuition,college_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,cost_constraint",
rankings for UCLA,counselor_teacher,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,school,
colleges in California good financial aid with strong research and internships,high_school_student,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,"location,cost_constraint",
Northeastern,parent,direct_lookup,short_circuit,simple entity,typesense_only,easy,,
Penn State,high_school_student,direct_lookup,short_circuit,simple entity; counselor framing,typesense_only,easy,school,persona:school_only_pattern
University of Washington application deadlines,college_student,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
UT Austin sports culture,college_student,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,"school,fit_or_culture_cue",
affordable philosophy schools in the Midwest with good job placement,high_school_student,career_outcomes,complex,multi-constraint,outcomes_pipeline,medium,"location,career_outcome_cue",intent:career_pattern
Brown introverts,college_student,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,"school,fit_or_culture_cue",
Boston University non-competitive culture,college_student,campus_life_fit,short_circuit,subjective fit,llm_advisory,complex,"school,fit_or_culture_cue",
create reach target safety list for pre-med near a major tech hub good financial aid,advisor,multi_constraint,complex,needs recommendations; advisor framing,foundry_multi_agent,complex,"major_or_program,cost_constraint",intent:advisor_list_pattern
what schools should i apply to for aerospace engineering on the East Coast under 30k,college_student,filtered_search,complex,needs recommendations,semantic_or_faceted_search,medium,"major_or_program,location",intent:filtered_search_pattern
create reach target safety list for philosophy near Chicago full ride options,advisor,multi_constraint,short_circuit,simple entity; advisor framing,foundry_multi_agent,complex,"location,cost_constraint",intent:advisor_list_pattern
do i need sat for Princeton,advisor,admissions_process,short_circuit,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
Columbia job placement for computer science,parent,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"school,major_or_program,career_outcome_cue",
USC housing guarantee,parent,attribute_lookup,medium,cost / aid; parent framing,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
arizona state,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
what essays does Vanderbilt require,high_school_student,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,school,
University of Florida but cheaper,advisor,rewrite_needed,llm_needed,needs rewrite,rewrite_then_route,complex,"school,location,rewrite_cue",
what schools should i apply to for public health near Chicago under 20k,high_school_student,filtered_search,complex,needs recommendations,semantic_or_faceted_search,medium,location,intent:filtered_search_pattern
Harvard,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
Vanderbilt vs Princeton for philosophy,advisor,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
MIT vs University of Wisconsin,college_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
Virginia Tech admissions profile average sat and gpa,counselor_teacher,admissions_process,short_circuit,compare entities; counselor framing,faq_or_guidance,medium,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
mit,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
MIT,high_school_student,direct_lookup,short_circuit,simple entity; parent framing,typesense_only,easy,school,persona:school_only_pattern
best colleges for business job outcomes,college_student,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"major_or_program,career_outcome_cue",
create reach target safety list for computer science near the beach under 40k,advisor,multi_constraint,medium,1–2 filters; advisor framing,foundry_multi_agent,complex,"major_or_program,location",intent:advisor_list_pattern
recommend large colleges not Florida for psychology reach schools,high_school_student,recommendation,complex,needs recommendations,recommendation_workflow,complex,"major_or_program,location",
scholarships for UC Berkeley,parent,cost_financial_aid,short_circuit,single attribute; parent framing,finance_guidance,medium,"school,cost_constraint",intent:cost_pattern
does Brown have public health,high_school_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,school,
Rice University scholarships,advisor,cost_financial_aid,medium,cost / aid; advisor framing,finance_guidance,medium,"school,cost_constraint",
Columbia but cheaper,parent,rewrite_needed,short_circuit,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
api access for college partners,college_b2b,b2b_partnership,short_circuit,B2B,b2b_workflow,medium,b2b_request_type,persona:b2b_pattern
Caltech rankings,advisor,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,,
create reach target safety list for aerospace engineering near Chicago low tuition,advisor,multi_constraint,llm_needed,subjective fit; advisor framing,foundry_multi_agent,complex,"major_or_program,location,cost_constraint",intent:advisor_list_pattern
Northwestern housing,college_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",
how do i apply to University of Maryland,college_student,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,school,
create reach target safety list for philosophy in California full ride options,advisor,multi_constraint,short_circuit,subjective fit; advisor framing,foundry_multi_agent,complex,"location,cost_constraint",intent:advisor_list_pattern
colleges in Texas under 30k with strong research and internships,high_school_student,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,location,
rice university,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
affordable electrical engineering schools near Chicago with good job placement,college_student,career_outcomes,complex,multi-constraint,outcomes_pipeline,medium,"major_or_program,location,career_outcome_cue",intent:career_pattern
small pre-med colleges near a major tech hub under 40k target schools,counselor_teacher,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,major_or_program,
does University of Florida have nursing,high_school_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,"school,major_or_program,location",
colleges near a major tech hub,counselor_teacher,filtered_search,medium,1–2 filters; counselor framing,semantic_or_faceted_search,medium,,
does UC San Diego have nursing,high_school_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,major_or_program,
schools in warm states with low student-to-faculty ratio,advisor,filtered_search,medium,1–2 filters; advisor framing,semantic_or_faceted_search,medium,location,
best colleges for public health job outcomes,advisor,career_outcomes,medium,outcomes,outcomes_pipeline,medium,career_outcome_cue,
best film schools in the Midwest,parent,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,"major_or_program,location",
four year cost of UC Berkeley including housing,parent,cost_financial_aid,complex,needs rewrite; parent framing,finance_guidance,medium,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
Columbia,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
how do i apply to University of Washington,advisor,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,school,
how do i apply to Boston University,parent,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,school,
University of Michigan sports culture,college_student,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,"school,fit_or_culture_cue",
financial aid for University of Florida,parent,cost_financial_aid,short_circuit,single attribute; parent framing,finance_guidance,medium,"school,location,cost_constraint",intent:cost_pattern
what schools should i apply to for mechanical engineering in California good financial aid,high_school_student,recommendation,complex,needs recommendations,recommendation_workflow,complex,"major_or_program,location,cost_constraint",
UC Irvine admissions profile average sat and gpa,counselor_teacher,admissions_process,complex,compare entities; counselor framing,faq_or_guidance,medium,admissions_or_attribute_signal,intent:admissions_profile_pattern
four year cost of Stanford including housing,parent,cost_financial_aid,medium,B2B; parent framing,finance_guidance,medium,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
universities with strong economics,college_student,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,major_or_program,
UC San Diego housing guarantee,parent,attribute_lookup,medium,cost / aid; parent framing,typesense_plus_metadata,easy,admissions_or_attribute_signal,intent:housing_guarantee_pattern
University of Florida job placement for mechanical engineering,counselor_teacher,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"school,major_or_program,location,career_outcome_cue",
colleges on the East Coast,parent,filtered_search,complex,1–2 filters,semantic_or_faceted_search,medium,location,
create reach target safety list for aerospace engineering in warm states good financial aid,advisor,multi_constraint,complex,multi-constraint; advisor framing,foundry_multi_agent,complex,"major_or_program,location,cost_constraint",
Brown but cheaper,parent,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
best business schools in Texas,high_school_student,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,"major_or_program,location",
student-to-faculty ratio for Stanford,college_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,school,
Arizona State but cheaper,advisor,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
create reach target safety list for nursing not Florida good financial aid,advisor,multi_constraint,medium,B2B; advisor framing,foundry_multi_agent,complex,"major_or_program,location,cost_constraint",intent:advisor_list_pattern
ucla vibe but not so expensive,advisor,rewrite_needed,medium,needs rewrite; advisor framing,rewrite_then_route,complex,"school,fit_or_culture_cue,rewrite_cue",
Stanford,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
rankings for Caltech,college_student,attribute_lookup,medium,single attribute,typesense_plus_metadata,easy,,
UT Austin but cheaper,parent,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
universities with strong chemistry,advisor,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,,
affordable chemistry schools on the East Coast with good job placement,high_school_student,career_outcomes,complex,multi-constraint,outcomes_pipeline,medium,"location,career_outcome_cue",intent:career_pattern
University of Wisconsin financial aid,college_student,cost_financial_aid,short_circuit,single attribute,finance_guidance,medium,"school,cost_constraint",intent:cost_pattern
rankings for Penn State,parent,attribute_lookup,short_circuit,single attribute; parent framing,typesense_plus_metadata,easy,school,
UC Irvine vs USC,parent,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
schools in California with low student-to-faculty ratio,counselor_teacher,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
UC San Diego job placement for mechanical engineering,counselor_teacher,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"major_or_program,career_outcome_cue",
UC San Diego application deadlines,advisor,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,admissions_or_attribute_signal,
university of maryland,high_school_student,direct_lookup,complex,simple entity,typesense_only,easy,school,persona:school_only_pattern
Purdue but cheaper,college_student,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
Vanderbilt tuition vs University of Michigan tuition,high_school_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,cost_constraint",
medium-sized public health colleges in Texas full ride options safety schools,high_school_student,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,"location,cost_constraint",
NYU application deadlines,parent,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
best colleges for architecture job outcomes,college_student,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"major_or_program,career_outcome_cue",
cheapest data science schools in warm states,college_student,filtered_search,medium,cost / aid,semantic_or_faceted_search,medium,location,intent:filtered_search_pattern
Cornell scholarships,high_school_student,cost_financial_aid,medium,cost / aid,finance_guidance,medium,"school,cost_constraint",
Caltech scholarships,college_student,cost_financial_aid,medium,cost / aid,finance_guidance,medium,cost_constraint,
medium-sized architecture colleges in California under 40k reach schools,parent,filtered_search,complex,multi-constraint; parent framing,semantic_or_faceted_search,medium,"major_or_program,location",intent:filtered_search_pattern
University of Maryland normal people,advisor,campus_life_fit,complex,subjective fit,llm_advisory,complex,"school,fit_or_culture_cue",
University of Washington vs UT Austin for psychology,counselor_teacher,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,major_or_program",
best colleges for architecture job outcomes,advisor,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"major_or_program,career_outcome_cue",
best colleges for chemistry job outcomes,parent,career_outcomes,medium,outcomes,outcomes_pipeline,medium,career_outcome_cue,
Arizona State,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
does Rice University have chemistry,college_student,attribute_lookup,llm_needed,single attribute,typesense_plus_metadata,easy,school,
Harvard job placement,counselor_teacher,career_outcomes,short_circuit,single attribute,outcomes_pipeline,medium,"school,career_outcome_cue",intent:career_pattern
schools near the beach with low student-to-faculty ratio,high_school_student,filtered_search,llm_needed,1–2 filters,semantic_or_faceted_search,medium,location,
Purdue location,college_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,school,
schools in California with low student-to-faculty ratio,advisor,filtered_search,medium,1–2 filters; advisor framing,semantic_or_faceted_search,medium,location,
Caltech vs UC San Diego,counselor_teacher,comparison,complex,compare entities,compare_pipeline,complex,comparison_target,
colleges on the East Coast,advisor,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
universities with strong chemistry,counselor_teacher,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,,
Rice University chill campus,high_school_student,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,"school,fit_or_culture_cue",
Penn State vibe,college_student,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,"school,fit_or_culture_cue",
create reach target safety list for computer science in the Midwest under 20k,advisor,multi_constraint,medium,how-to / admissions; advisor framing,foundry_multi_agent,complex,"major_or_program,location",intent:advisor_list_pattern
University of Michigan application deadlines,college_student,admissions_process,llm_needed,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
University of Wisconsin job placement for psychology,high_school_student,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"school,major_or_program,career_outcome_cue",
create reach target safety list for mechanical engineering in warm states full ride options,advisor,multi_constraint,medium,cost / aid; advisor framing,foundry_multi_agent,complex,"major_or_program,location,cost_constraint",intent:advisor_list_pattern
University of Wisconsin admissions profile average sat and gpa,counselor_teacher,admissions_process,complex,needs rewrite; counselor framing,faq_or_guidance,medium,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
four year cost of MIT including housing,parent,cost_financial_aid,medium,B2B; parent framing,finance_guidance,medium,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
Northeastern scholarships,advisor,cost_financial_aid,medium,cost / aid,finance_guidance,medium,cost_constraint,
Rice University,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
harvard,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
UCLA application deadlines,advisor,admissions_process,medium,how-to / admissions; advisor framing,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
Carnegie Mellon vs University of Washington,college_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
create reach target safety list for engineering in California full ride options,advisor,multi_constraint,llm_needed,subjective fit; advisor framing,foundry_multi_agent,complex,"major_or_program,location,cost_constraint",intent:advisor_list_pattern
Boston University vs University of Michigan,high_school_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
Vanderbilt vs University of Maryland,counselor_teacher,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
schools good for introverts,parent,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,fit_or_culture_cue,
create reach target safety list for economics in the Midwest under 30k,advisor,multi_constraint,llm_needed,subjective fit; advisor framing,foundry_multi_agent,complex,"major_or_program,location",intent:advisor_list_pattern
create reach target safety list for public health in California good financial aid,advisor,multi_constraint,medium,B2B; advisor framing,foundry_multi_agent,complex,"location,cost_constraint",intent:advisor_list_pattern
Georgia Tech vs NYU,parent,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
small data science colleges near Chicago under 20k target schools,advisor,multi_constraint,medium,multi-constraint; advisor framing,foundry_multi_agent,complex,location,
University of Michigan financial aid for out of state,high_school_student,cost_financial_aid,medium,cost / aid,finance_guidance,medium,"school,cost_constraint",
schools like Caltech but cheaper,high_school_student,rewrite_needed,complex,needs recommendations,rewrite_then_route,complex,rewrite_cue,intent:rewrite_pattern
University of Michigan vs Harvard for business,college_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,major_or_program",
colleges near Chicago under 30k with strong research and internships,advisor,multi_constraint,complex,multi-constraint; advisor framing,foundry_multi_agent,complex,location,
MIT financial aid for out of state,advisor,cost_financial_aid,medium,cost / aid,finance_guidance,medium,"school,cost_constraint",
cheapest nursing schools near the beach,advisor,filtered_search,complex,cost / aid; advisor framing,semantic_or_faceted_search,medium,"major_or_program,location",intent:filtered_search_pattern
University of Michigan admissions profile average sat and gpa,counselor_teacher,admissions_process,complex,needs rewrite; counselor framing,faq_or_guidance,medium,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
what schools should i apply to for data science in the Midwest good financial aid,parent,recommendation,complex,needs recommendations,recommendation_workflow,complex,"location,cost_constraint",
do i need sat for Virginia Tech,parent,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
boston university,high_school_student,direct_lookup,short_circuit,simple entity; counselor framing,typesense_only,easy,school,persona:school_only_pattern
affordable pre-med schools near Chicago with good job placement,high_school_student,career_outcomes,complex,multi-constraint,outcomes_pipeline,medium,"major_or_program,location,career_outcome_cue",intent:career_pattern
small political science colleges in the Midwest under 30k not too competitive,counselor_teacher,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,location,
large public health colleges not Florida under 20k reach schools,counselor_teacher,filtered_search,complex,multi-constraint,semantic_or_faceted_search,medium,location,intent:filtered_search_pattern
create reach target safety list for film in Texas good financial aid,advisor,multi_constraint,complex,needs rewrite; advisor framing,foundry_multi_agent,complex,"major_or_program,location,cost_constraint",intent:advisor_list_pattern
mit without the suffering,college_student,rewrite_needed,medium,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
University of Washington scholarships,advisor,cost_financial_aid,medium,cost / aid; advisor framing,finance_guidance,medium,"school,cost_constraint",
UC Irvine financial aid for out of state,high_school_student,cost_financial_aid,medium,cost / aid,finance_guidance,medium,cost_constraint,
boston university,high_school_student,direct_lookup,llm_needed,simple entity,typesense_only,easy,school,persona:school_only_pattern
UC San Diego scholarships,advisor,cost_financial_aid,medium,cost / aid,finance_guidance,medium,cost_constraint,
what essays does University of Washington require,advisor,admissions_process,medium,how-to / admissions; advisor framing,faq_or_guidance,medium,school,
Cornell job placement for nursing,college_student,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"school,major_or_program,career_outcome_cue",
Cornell vs Northwestern for business,parent,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,major_or_program",
clubs for Duke,advisor,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,school,
what schools should i apply to for neuroscience in California under 40k,counselor_teacher,filtered_search,complex,needs recommendations,semantic_or_faceted_search,medium,"major_or_program,location",intent:filtered_search_pattern
colleges near Chicago,college_student,filtered_search,short_circuit,1–2 filters,semantic_or_faceted_search,medium,location,
Duke tuition vs University of Michigan tuition,high_school_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,cost_constraint",
best philosophy schools near a major tech hub,college_student,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,,
colleges on the East Coast low tuition with strong research and internships,advisor,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,"location,cost_constraint",
schools like Harvard but cheaper,advisor,rewrite_needed,complex,needs recommendations,rewrite_then_route,complex,"school,rewrite_cue",intent:rewrite_pattern
University of Maryland vs UCLA,parent,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
mit without the suffering,high_school_student,rewrite_needed,short_circuit,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
recommend medium-sized colleges in Texas for chemistry reach schools,high_school_student,recommendation,complex,needs recommendations,recommendation_workflow,complex,location,
USC,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,
universities with strong engineering,counselor_teacher,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,major_or_program,
four year cost of Caltech including housing,parent,cost_financial_aid,medium,simple entity; parent framing,finance_guidance,medium,"cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
Virginia Tech tuition vs USC tuition,counselor_teacher,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,cost_constraint",
Cornell job placement for engineering,college_student,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"school,major_or_program,career_outcome_cue",
create reach target safety list for public health near Chicago good financial aid,advisor,multi_constraint,medium,B2B; advisor framing,foundry_multi_agent,complex,"location,cost_constraint",intent:advisor_list_pattern
cheapest aerospace engineering schools in California,parent,filtered_search,medium,cost / aid,semantic_or_faceted_search,medium,"major_or_program,location",intent:filtered_search_pattern
Arizona State job placement for business,parent,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"school,major_or_program,career_outcome_cue",
Brown financial aid for out of state,advisor,cost_financial_aid,medium,cost / aid,finance_guidance,medium,"school,cost_constraint",
does University of Florida have engineering,counselor_teacher,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,"school,major_or_program,location",
USC,high_school_student,direct_lookup,short_circuit,simple entity; advisor framing,typesense_only,easy,school,persona:school_only_pattern
Princeton tuition vs Rice University tuition,counselor_teacher,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,cost_constraint",
University of Florida housing guarantee,parent,attribute_lookup,medium,outcomes; parent framing,typesense_plus_metadata,easy,"school,location,admissions_or_attribute_signal",intent:housing_guarantee_pattern
what schools should i apply to for business in the Midwest low tuition,high_school_student,recommendation,complex,needs recommendations,recommendation_workflow,complex,"major_or_program,location,cost_constraint",
